sheet,row,column,message,level
earlyTerminationTimeline,11,3,"No activity Vital signs / Temperature found, so one has been created",Warning
earlyTerminationTimeline,12,3,"No activity ECG found, so one has been created",Warning
earlyTerminationTimeline,13,3,"No activity Concomitant medications found, so one has been created",Warning
earlyTerminationTimeline,14,3,"No activity Hematology found, so one has been created",Warning
earlyTerminationTimeline,15,3,"No activity Chemistry found, so one has been created",Warning
earlyTerminationTimeline,16,3,"No activity Uninalysis found, so one has been created",Warning
earlyTerminationTimeline,17,3,"No activity Plasma Specimen (Xanomeline) found, so one has been created",Warning
earlyTerminationTimeline,18,3,"No activity Study drug found, so one has been created",Warning
earlyTerminationTimeline,19,3,"No activity TTS Acceptability Survey found, so one has been created",Warning
earlyTerminationTimeline,20,3,"No activity ADAS-Cog found, so one has been created",Warning
earlyTerminationTimeline,21,3,"No activity CIBIC+ found, so one has been created",Warning
earlyTerminationTimeline,22,3,"No activity DAD found, so one has been created",Warning
earlyTerminationTimeline,23,3,"No activity NPI-X found, so one has been created",Warning
earlyTerminationTimeline,24,3,"No activity Check adverse events found, so one has been created",Warning
vsBloodPressure,10,3,"No activity Supine found, so one has been created",Warning
vsBloodPressure,11,3,"No activity Vital Signs Supine found, so one has been created",Warning
vsBloodPressure,12,3,"No activity Stand found, so one has been created",Warning
vsBloodPressure,13,3,"No activity Vital Signs Standing found, so one has been created",Warning
mainTimeline,16,3,"No activity Follicle-stimulating hormone (post-menopausal females onlyh ) found, so one has been created",Warning
mainTimeline,21,3,"No activity WD historyj found, so one has been created",Warning
mainTimeline,22,3,"No activity Prior WD treatmentj found, so one has been created",Warning
mainTimeline,23,3,"No activity Physical examinationk found, so one has been created",Warning
mainTimeline,31,3,"No activity Blood sampling for PK: Plasma total Mo and PUF-Mo PD: Plasma total and PUF-Cu, LBC, ceruloplasmin, ceruloplasmin-bound Cu found, so one has been created",Warning
mainTimeline,32,3,"No activity Chemistryq , hematology, Coagulationrgr found, so one has been created",Warning
mainTimeline,33,3,"No activity Urinalysisg found, so one has been created",Warning
mainTimeline,35,3,"No activity Retained serum sample (safety)t found, so one has been created",Warning
mainTimeline,36,3,"No activity Vitals sign measurementsu found, so one has been created",Warning
mainTimeline,39,3,"No activity Cu/Mo-controlled mealsv found, so one has been created",Warning
mainTimeline,41,3,"No activity Urination and bowel movement monitoring, menstruation checks found, so one has been created",Warning
mainTimeline,42,3,"No activity 24-hour urine for Cu and Mow found, so one has been created",Warning
mainTimeline,43,3,"No activity Feces for Cu and Mox found, so one has been created",Warning
mainTimeline,44,3,"No activity Concomitant medication and non-pharmacologic therapy/procedure found, so one has been created",Warning
mainTimeline,,,Failed to find encounter with name 'E6',Warning
mainTimeline,,,Failed to find encounter with name 'E14',Warning
mainTimeline,,,Failed to find encounter with name 'E15',Warning
mainTimeline,,,Failed to find encounter with name 'E16',Warning
mainTimeline,,,Failed to find encounter with name 'E17',Warning
mainTimeline,,,Failed to find encounter with name 'E18',Warning
mainTimeline,,,Failed to find encounter with name 'E19',Warning
mainTimeline,,,Failed to find encounter with name 'E19',Warning
mainTimeline,,,Failed to find encounter with name 'E19',Warning
mainTimeline,,,Failed to find encounter with name 'E19',Warning
mainTimeline,,,Failed to find encounter with name 'E20',Warning
mainTimeline,,,"Default reference from SCREEN-1 to SCREEN2 cannot be made, not found on the same timeline",Error
,,,Unable to find timing 'from' reference with name SCREEN1,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name SCREEN2,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name DOSE,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK2,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK4,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK6,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK8,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK8N,Error
,,,Unable to find timing 'to' reference with name WK8,Error
,,,Unable to find timing 'from' reference with name WK12,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK12N,Error
,,,Unable to find timing 'to' reference with name WK12,Error
,,,Unable to find timing 'from' reference with name WK16,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK16N,Error
,,,Unable to find timing 'to' reference with name WK16,Error
,,,Unable to find timing 'from' reference with name WK20,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK20N,Error
,,,Unable to find timing 'to' reference with name WK20,Error
,,,Unable to find timing 'from' reference with name WK24,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
,,,Unable to find timing 'from' reference with name WK26,Error
,,,Unable to find timing 'to' reference with name DOSE,Error
mainTimeline,,,Unable to find timing reference for instance with name 'SCREEN-1',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'SCREEN-2',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'CHECK-IN',Warning
